iteration,map,density,buildings,parks,streets
231,2,1,2,2,0
232,2,1,2,2,1
233,2,1,2,2,2
234,2,2,2,0,0
235,2,2,2,0,1
236,2,2,2,0,2
237,2,2,2,1,0
238,2,2,2,1,1
239,2,2,2,1,2
240,2,2,2,2,0
241,2,2,2,2,1
242,2,2,2,2,2
